
# Surface 0 of 1 surfaces

# Curve title: "y**2 - (x-1)*(x-2)*(x-3)*(x+1)*(x+2)*(x+3)"

# Contour 0, label:    0.003
1.7877256e+00 3.1062124e+00 3.0000000e-03 
1.7940687e+00 3.0661323e+00 3.0000000e-03 
1.8003293e+00 3.0260521e+00 3.0000000e-03 
1.8065076e+00 2.9859719e+00 3.0000000e-03 
1.8126036e+00 2.9458918e+00 3.0000000e-03 
1.8186171e+00 2.9058116e+00 3.0000000e-03 
1.8245483e+00 2.8657315e+00 3.0000000e-03 
1.8303970e+00 2.8256513e+00 3.0000000e-03 
1.8361634e+00 2.7855711e+00 3.0000000e-03 
1.8418475e+00 2.7454910e+00 3.0000000e-03 
1.8474491e+00 2.7054108e+00 3.0000000e-03 
1.8529684e+00 2.6653307e+00 3.0000000e-03 
1.8584053e+00 2.6252505e+00 3.0000000e-03 
1.8637598e+00 2.5851703e+00 3.0000000e-03 
1.8690320e+00 2.5450902e+00 3.0000000e-03 
1.8742217e+00 2.5050100e+00 3.0000000e-03 
1.8793291e+00 2.4649299e+00 3.0000000e-03 
1.8843541e+00 2.4248497e+00 3.0000000e-03 
1.8892968e+00 2.3847695e+00 3.0000000e-03 
1.8941570e+00 2.3446894e+00 3.0000000e-03 
1.8989349e+00 2.3046092e+00 3.0000000e-03 
1.9036304e+00 2.2645291e+00 3.0000000e-03 
1.9082435e+00 2.2244489e+00 3.0000000e-03 
1.9127743e+00 2.1843687e+00 3.0000000e-03 
1.9172227e+00 2.1442886e+00 3.0000000e-03 
1.9191919e+00 2.1262107e+00 3.0000000e-03 
1.9207166e+00 2.1042084e+00 3.0000000e-03 
1.9234416e+00 2.0641283e+00 3.0000000e-03 
1.9261142e+00 2.0240481e+00 3.0000000e-03 
1.9287344e+00 1.9839679e+00 3.0000000e-03 
1.9313022e+00 1.9438878e+00 3.0000000e-03 
1.9338175e+00 1.9038076e+00 3.0000000e-03 
1.9362805e+00 1.8637275e+00 3.0000000e-03 
1.9386911e+00 1.8236473e+00 3.0000000e-03 
1.9410493e+00 1.7835671e+00 3.0000000e-03 
1.9433550e+00 1.7434870e+00 3.0000000e-03 
1.9456084e+00 1.7034068e+00 3.0000000e-03 
1.9478094e+00 1.6633267e+00 3.0000000e-03 
1.9499579e+00 1.6232465e+00 3.0000000e-03 
1.9520541e+00 1.5831663e+00 3.0000000e-03 
1.9540978e+00 1.5430862e+00 3.0000000e-03 
1.9560892e+00 1.5030060e+00 3.0000000e-03 
1.9580281e+00 1.4629259e+00 3.0000000e-03 
1.9599146e+00 1.4228457e+00 3.0000000e-03 
1.9617488e+00 1.3827655e+00 3.0000000e-03 
1.9635305e+00 1.3426854e+00 3.0000000e-03 
1.9652598e+00 1.3026052e+00 3.0000000e-03 
1.9669367e+00 1.2625251e+00 3.0000000e-03 
1.9685613e+00 1.2224449e+00 3.0000000e-03 
1.9701334e+00 1.1823647e+00 3.0000000e-03 
1.9716531e+00 1.1422846e+00 3.0000000e-03 
1.9731204e+00 1.1022044e+00 3.0000000e-03 
1.9745353e+00 1.0621242e+00 3.0000000e-03 
1.9758978e+00 1.0220441e+00 3.0000000e-03 
1.9772079e+00 9.8196393e-01 3.0000000e-03 
1.9784656e+00 9.4188377e-01 3.0000000e-03 
1.9796709e+00 9.0180361e-01 3.0000000e-03 
1.9808238e+00 8.6172345e-01 3.0000000e-03 
1.9819242e+00 8.2164329e-01 3.0000000e-03 
1.9829723e+00 7.8156313e-01 3.0000000e-03 
1.9839680e+00 7.4148297e-01 3.0000000e-03 
1.9849113e+00 7.0140281e-01 3.0000000e-03 
1.9858021e+00 6.6132265e-01 3.0000000e-03 
1.9866406e+00 6.2124248e-01 3.0000000e-03 
1.9874266e+00 5.8116232e-01 3.0000000e-03 
1.9881603e+00 5.4108216e-01 3.0000000e-03 
1.9888415e+00 5.0100200e-01 3.0000000e-03 
1.9894704e+00 4.6092184e-01 3.0000000e-03 
1.9900468e+00 4.2084168e-01 3.0000000e-03 
1.9905709e+00 3.8076152e-01 3.0000000e-03 
1.9910425e+00 3.4068136e-01 3.0000000e-03 
1.9914617e+00 3.0060120e-01 3.0000000e-03 
1.9918286e+00 2.6052104e-01 3.0000000e-03 
1.9921430e+00 2.2044088e-01 3.0000000e-03 
1.9924050e+00 1.8036072e-01 3.0000000e-03 
1.9926146e+00 1.4028056e-01 3.0000000e-03 
1.9927718e+00 1.0020040e-01 3.0000000e-03 
1.9928766e+00 6.0120240e-02 3.0000000e-03 

1.0043761e+00 -2.0040080e-02 3.0000000e-03 
1.0043761e+00 2.0040080e-02 3.0000000e-03 
1.0044442e+00 6.0120240e-02 3.0000000e-03 
1.0045803e+00 1.0020040e-01 3.0000000e-03 
1.0047844e+00 1.4028056e-01 3.0000000e-03 
1.0050565e+00 1.8036072e-01 3.0000000e-03 
1.0053968e+00 2.2044088e-01 3.0000000e-03 
1.0058050e+00 2.6052104e-01 3.0000000e-03 
1.0062813e+00 3.0060120e-01 3.0000000e-03 
1.0068256e+00 3.4068136e-01 3.0000000e-03 
1.0074380e+00 3.8076152e-01 3.0000000e-03 
1.0081184e+00 4.2084168e-01 3.0000000e-03 
1.0088669e+00 4.6092184e-01 3.0000000e-03 
1.0096834e+00 5.0100200e-01 3.0000000e-03 
1.0105679e+00 5.4108216e-01 3.0000000e-03 
1.0115205e+00 5.8116232e-01 3.0000000e-03 
1.0125411e+00 6.2124248e-01 3.0000000e-03 
1.0136298e+00 6.6132265e-01 3.0000000e-03 
1.0147865e+00 7.0140281e-01 3.0000000e-03 
1.0160112e+00 7.4148297e-01 3.0000000e-03 
1.0173040e+00 7.8156313e-01 3.0000000e-03 
1.0186649e+00 8.2164329e-01 3.0000000e-03 
1.0200937e+00 8.6172345e-01 3.0000000e-03 
1.0215907e+00 9.0180361e-01 3.0000000e-03 
1.0231556e+00 9.4188377e-01 3.0000000e-03 
1.0247886e+00 9.8196393e-01 3.0000000e-03 
1.0264897e+00 1.0220441e+00 3.0000000e-03 
1.0282587e+00 1.0621242e+00 3.0000000e-03 
1.0300959e+00 1.1022044e+00 3.0000000e-03 
1.0320010e+00 1.1422846e+00 3.0000000e-03 
1.0339742e+00 1.1823647e+00 3.0000000e-03 
1.0360155e+00 1.2224449e+00 3.0000000e-03 
1.0381248e+00 1.2625251e+00 3.0000000e-03 
1.0403021e+00 1.3026052e+00 3.0000000e-03 
1.0425475e+00 1.3426854e+00 3.0000000e-03 
1.0448609e+00 1.3827655e+00 3.0000000e-03 
1.0472423e+00 1.4228457e+00 3.0000000e-03 
1.0496918e+00 1.4629259e+00 3.0000000e-03 
1.0522094e+00 1.5030060e+00 3.0000000e-03 
1.0547950e+00 1.5430862e+00 3.0000000e-03 
1.0574486e+00 1.5831663e+00 3.0000000e-03 
1.0601702e+00 1.6232465e+00 3.0000000e-03 
1.0629599e+00 1.6633267e+00 3.0000000e-03 
1.0658177e+00 1.7034068e+00 3.0000000e-03 
1.0687435e+00 1.7434870e+00 3.0000000e-03 
1.0717373e+00 1.7835671e+00 3.0000000e-03 
1.0747992e+00 1.8236473e+00 3.0000000e-03 
1.0779291e+00 1.8637275e+00 3.0000000e-03 
1.0811271e+00 1.9038076e+00 3.0000000e-03 
1.0843930e+00 1.9438878e+00 3.0000000e-03 
1.0877271e+00 1.9839679e+00 3.0000000e-03 
1.0911292e+00 2.0240481e+00 3.0000000e-03 
1.0945993e+00 2.0641283e+00 3.0000000e-03 
1.0981375e+00 2.1042084e+00 3.0000000e-03 
1.1017437e+00 2.1442886e+00 3.0000000e-03 
1.1054179e+00 2.1843687e+00 3.0000000e-03 
1.1091602e+00 2.2244489e+00 3.0000000e-03 
1.1111111e+00 2.2449703e+00 3.0000000e-03 
1.1136613e+00 2.2645291e+00 3.0000000e-03 
1.1189804e+00 2.3046092e+00 3.0000000e-03 
1.1243929e+00 2.3446894e+00 3.0000000e-03 
1.1298987e+00 2.3847695e+00 3.0000000e-03 
1.1354978e+00 2.4248497e+00 3.0000000e-03 
1.1411902e+00 2.4649299e+00 3.0000000e-03 
1.1469760e+00 2.5050100e+00 3.0000000e-03 
1.1528550e+00 2.5450902e+00 3.0000000e-03 
1.1588274e+00 2.5851703e+00 3.0000000e-03 
1.1648931e+00 2.6252505e+00 3.0000000e-03 
1.1710522e+00 2.6653307e+00 3.0000000e-03 
1.1773045e+00 2.7054108e+00 3.0000000e-03 
1.1836502e+00 2.7454910e+00 3.0000000e-03 
1.1900891e+00 2.7855711e+00 3.0000000e-03 
1.1966214e+00 2.8256513e+00 3.0000000e-03 
1.2032470e+00 2.8657315e+00 3.0000000e-03 
1.2099660e+00 2.9058116e+00 3.0000000e-03 
1.2167782e+00 2.9458918e+00 3.0000000e-03 
1.2236838e+00 2.9859719e+00 3.0000000e-03 
1.2306827e+00 3.0260521e+00 3.0000000e-03 
1.2377749e+00 3.0661323e+00 3.0000000e-03 
1.2449604e+00 3.1062124e+00 3.0000000e-03 
1.2522393e+00 3.1462926e+00 3.0000000e-03 
1.2596114e+00 3.1863727e+00 3.0000000e-03 
1.2670769e+00 3.2264529e+00 3.0000000e-03 
1.2746357e+00 3.2665331e+00 3.0000000e-03 
1.2822878e+00 3.3066132e+00 3.0000000e-03 
1.2900333e+00 3.3466934e+00 3.0000000e-03 
1.2978720e+00 3.3867735e+00 3.0000000e-03 
1.3058041e+00 3.4268537e+00 3.0000000e-03 
1.3131313e+00 3.4634471e+00 3.0000000e-03 
1.3148580e+00 3.4669339e+00 3.0000000e-03 
1.3349374e+00 3.5070140e+00 3.0000000e-03 
1.3552475e+00 3.5470942e+00 3.0000000e-03 
1.3757885e+00 3.5871743e+00 3.0000000e-03 
1.3965602e+00 3.6272545e+00 3.0000000e-03 
1.4175628e+00 3.6673347e+00 3.0000000e-03 
1.4387961e+00 3.7074148e+00 3.0000000e-03 
1.4602602e+00 3.7474950e+00 3.0000000e-03 
1.4819552e+00 3.7875752e+00 3.0000000e-03 
1.5038809e+00 3.8276553e+00 3.0000000e-03 

1.5151515e+00 -3.8480434e+00 3.0000000e-03 
1.5038809e+00 -3.8276553e+00 3.0000000e-03 
1.4819552e+00 -3.7875752e+00 3.0000000e-03 
1.4602602e+00 -3.7474950e+00 3.0000000e-03 
1.4387961e+00 -3.7074148e+00 3.0000000e-03 
1.4175628e+00 -3.6673347e+00 3.0000000e-03 
1.3965602e+00 -3.6272545e+00 3.0000000e-03 
1.3757885e+00 -3.5871743e+00 3.0000000e-03 
1.3552475e+00 -3.5470942e+00 3.0000000e-03 
1.3349374e+00 -3.5070140e+00 3.0000000e-03 
1.3148580e+00 -3.4669339e+00 3.0000000e-03 
1.3131313e+00 -3.4634471e+00 3.0000000e-03 
1.3058041e+00 -3.4268537e+00 3.0000000e-03 
1.2978720e+00 -3.3867735e+00 3.0000000e-03 
1.2900333e+00 -3.3466934e+00 3.0000000e-03 
1.2822878e+00 -3.3066132e+00 3.0000000e-03 
1.2746357e+00 -3.2665331e+00 3.0000000e-03 
1.2670769e+00 -3.2264529e+00 3.0000000e-03 
1.2596114e+00 -3.1863727e+00 3.0000000e-03 
1.2522393e+00 -3.1462926e+00 3.0000000e-03 
1.2449604e+00 -3.1062124e+00 3.0000000e-03 
1.2377749e+00 -3.0661323e+00 3.0000000e-03 
1.2306827e+00 -3.0260521e+00 3.0000000e-03 
1.2236838e+00 -2.9859719e+00 3.0000000e-03 
1.2167782e+00 -2.9458918e+00 3.0000000e-03 
1.2099660e+00 -2.9058116e+00 3.0000000e-03 
1.2032470e+00 -2.8657315e+00 3.0000000e-03 
1.1966214e+00 -2.8256513e+00 3.0000000e-03 
1.1900891e+00 -2.7855711e+00 3.0000000e-03 
1.1836502e+00 -2.7454910e+00 3.0000000e-03 
1.1773045e+00 -2.7054108e+00 3.0000000e-03 
1.1710522e+00 -2.6653307e+00 3.0000000e-03 
1.1648931e+00 -2.6252505e+00 3.0000000e-03 
1.1588274e+00 -2.5851703e+00 3.0000000e-03 
1.1528550e+00 -2.5450902e+00 3.0000000e-03 
1.1469760e+00 -2.5050100e+00 3.0000000e-03 
1.1411902e+00 -2.4649299e+00 3.0000000e-03 
1.1354978e+00 -2.4248497e+00 3.0000000e-03 
1.1298987e+00 -2.3847695e+00 3.0000000e-03 
1.1243929e+00 -2.3446894e+00 3.0000000e-03 
1.1189804e+00 -2.3046092e+00 3.0000000e-03 
1.1136613e+00 -2.2645291e+00 3.0000000e-03 
1.1111111e+00 -2.2449703e+00 3.0000000e-03 
1.1091602e+00 -2.2244489e+00 3.0000000e-03 
1.1054179e+00 -2.1843687e+00 3.0000000e-03 
1.1017437e+00 -2.1442886e+00 3.0000000e-03 
1.0981375e+00 -2.1042084e+00 3.0000000e-03 
1.0945993e+00 -2.0641283e+00 3.0000000e-03 
1.0911292e+00 -2.0240481e+00 3.0000000e-03 
1.0877271e+00 -1.9839679e+00 3.0000000e-03 
1.0843930e+00 -1.9438878e+00 3.0000000e-03 
1.0811271e+00 -1.9038076e+00 3.0000000e-03 
1.0779291e+00 -1.8637275e+00 3.0000000e-03 
1.0747992e+00 -1.8236473e+00 3.0000000e-03 
1.0717373e+00 -1.7835671e+00 3.0000000e-03 
1.0687435e+00 -1.7434870e+00 3.0000000e-03 
1.0658177e+00 -1.7034068e+00 3.0000000e-03 
1.0629599e+00 -1.6633267e+00 3.0000000e-03 
1.0601702e+00 -1.6232465e+00 3.0000000e-03 
1.0574486e+00 -1.5831663e+00 3.0000000e-03 
1.0547950e+00 -1.5430862e+00 3.0000000e-03 
1.0522094e+00 -1.5030060e+00 3.0000000e-03 
1.0496918e+00 -1.4629259e+00 3.0000000e-03 
1.0472423e+00 -1.4228457e+00 3.0000000e-03 
1.0448609e+00 -1.3827655e+00 3.0000000e-03 
1.0425475e+00 -1.3426854e+00 3.0000000e-03 
1.0403021e+00 -1.3026052e+00 3.0000000e-03 
1.0381248e+00 -1.2625251e+00 3.0000000e-03 
1.0360155e+00 -1.2224449e+00 3.0000000e-03 
1.0339742e+00 -1.1823647e+00 3.0000000e-03 
1.0320010e+00 -1.1422846e+00 3.0000000e-03 
1.0300959e+00 -1.1022044e+00 3.0000000e-03 
1.0282587e+00 -1.0621242e+00 3.0000000e-03 
1.0264897e+00 -1.0220441e+00 3.0000000e-03 
1.0247886e+00 -9.8196393e-01 3.0000000e-03 
1.0231556e+00 -9.4188377e-01 3.0000000e-03 
1.0215907e+00 -9.0180361e-01 3.0000000e-03 
1.0200937e+00 -8.6172345e-01 3.0000000e-03 
1.0186649e+00 -8.2164329e-01 3.0000000e-03 
1.0173040e+00 -7.8156313e-01 3.0000000e-03 
1.0160112e+00 -7.4148297e-01 3.0000000e-03 
1.0147865e+00 -7.0140281e-01 3.0000000e-03 
1.0136298e+00 -6.6132265e-01 3.0000000e-03 
1.0125411e+00 -6.2124248e-01 3.0000000e-03 
1.0115205e+00 -5.8116232e-01 3.0000000e-03 
1.0105679e+00 -5.4108216e-01 3.0000000e-03 
1.0096834e+00 -5.0100200e-01 3.0000000e-03 
1.0088669e+00 -4.6092184e-01 3.0000000e-03 
1.0081184e+00 -4.2084168e-01 3.0000000e-03 
1.0074380e+00 -3.8076152e-01 3.0000000e-03 
1.0068256e+00 -3.4068136e-01 3.0000000e-03 
1.0062813e+00 -3.0060120e-01 3.0000000e-03 
1.0058050e+00 -2.6052104e-01 3.0000000e-03 
1.0053968e+00 -2.2044088e-01 3.0000000e-03 
1.0050565e+00 -1.8036072e-01 3.0000000e-03 
1.0047844e+00 -1.4028056e-01 3.0000000e-03 
1.0045803e+00 -1.0020040e-01 3.0000000e-03 
1.0044442e+00 -6.0120240e-02 3.0000000e-03 
1.0043761e+00 -2.0040080e-02 3.0000000e-03 

-1.4819552e+00 -3.7875752e+00 3.0000000e-03 
-1.5038809e+00 -3.8276553e+00 3.0000000e-03 
-1.5151515e+00 -3.8480434e+00 3.0000000e-03 

-1.0044442e+00 6.0120240e-02 3.0000000e-03 
-1.0043761e+00 2.0040080e-02 3.0000000e-03 
-1.0043761e+00 -2.0040080e-02 3.0000000e-03 
-1.0044442e+00 -6.0120240e-02 3.0000000e-03 
-1.0045803e+00 -1.0020040e-01 3.0000000e-03 
-1.0047844e+00 -1.4028056e-01 3.0000000e-03 
-1.0050565e+00 -1.8036072e-01 3.0000000e-03 
-1.0053968e+00 -2.2044088e-01 3.0000000e-03 
-1.0058050e+00 -2.6052104e-01 3.0000000e-03 
-1.0062813e+00 -3.0060120e-01 3.0000000e-03 
-1.0068256e+00 -3.4068136e-01 3.0000000e-03 
-1.0074380e+00 -3.8076152e-01 3.0000000e-03 
-1.0081184e+00 -4.2084168e-01 3.0000000e-03 
-1.0088669e+00 -4.6092184e-01 3.0000000e-03 
-1.0096834e+00 -5.0100200e-01 3.0000000e-03 
-1.0105679e+00 -5.4108216e-01 3.0000000e-03 
-1.0115205e+00 -5.8116232e-01 3.0000000e-03 
-1.0125411e+00 -6.2124248e-01 3.0000000e-03 
-1.0136298e+00 -6.6132265e-01 3.0000000e-03 
-1.0147865e+00 -7.0140281e-01 3.0000000e-03 
-1.0160112e+00 -7.4148297e-01 3.0000000e-03 
-1.0173040e+00 -7.8156313e-01 3.0000000e-03 
-1.0186649e+00 -8.2164329e-01 3.0000000e-03 
-1.0200937e+00 -8.6172345e-01 3.0000000e-03 
-1.0215907e+00 -9.0180361e-01 3.0000000e-03 
-1.0231556e+00 -9.4188377e-01 3.0000000e-03 
-1.0247886e+00 -9.8196393e-01 3.0000000e-03 
-1.0264897e+00 -1.0220441e+00 3.0000000e-03 
-1.0282587e+00 -1.0621242e+00 3.0000000e-03 
-1.0300959e+00 -1.1022044e+00 3.0000000e-03 
-1.0320010e+00 -1.1422846e+00 3.0000000e-03 
-1.0339742e+00 -1.1823647e+00 3.0000000e-03 
-1.0360155e+00 -1.2224449e+00 3.0000000e-03 
-1.0381248e+00 -1.2625251e+00 3.0000000e-03 
-1.0403021e+00 -1.3026052e+00 3.0000000e-03 
-1.0425475e+00 -1.3426854e+00 3.0000000e-03 
-1.0448609e+00 -1.3827655e+00 3.0000000e-03 
-1.0472423e+00 -1.4228457e+00 3.0000000e-03 
-1.0496918e+00 -1.4629259e+00 3.0000000e-03 
-1.0522094e+00 -1.5030060e+00 3.0000000e-03 
-1.0547950e+00 -1.5430862e+00 3.0000000e-03 
-1.0574486e+00 -1.5831663e+00 3.0000000e-03 
-1.0601702e+00 -1.6232465e+00 3.0000000e-03 
-1.0629599e+00 -1.6633267e+00 3.0000000e-03 
-1.0658177e+00 -1.7034068e+00 3.0000000e-03 
-1.0687435e+00 -1.7434870e+00 3.0000000e-03 
-1.0717373e+00 -1.7835671e+00 3.0000000e-03 
-1.0747992e+00 -1.8236473e+00 3.0000000e-03 
-1.0779291e+00 -1.8637275e+00 3.0000000e-03 
-1.0811271e+00 -1.9038076e+00 3.0000000e-03 
-1.0843930e+00 -1.9438878e+00 3.0000000e-03 
-1.0877271e+00 -1.9839679e+00 3.0000000e-03 
-1.0911292e+00 -2.0240481e+00 3.0000000e-03 
-1.0945993e+00 -2.0641283e+00 3.0000000e-03 
-1.0981375e+00 -2.1042084e+00 3.0000000e-03 
-1.1017437e+00 -2.1442886e+00 3.0000000e-03 
-1.1054179e+00 -2.1843687e+00 3.0000000e-03 
-1.1091602e+00 -2.2244489e+00 3.0000000e-03 
-1.1111111e+00 -2.2449703e+00 3.0000000e-03 
-1.1136613e+00 -2.2645291e+00 3.0000000e-03 
-1.1189804e+00 -2.3046092e+00 3.0000000e-03 
-1.1243929e+00 -2.3446894e+00 3.0000000e-03 
-1.1298987e+00 -2.3847695e+00 3.0000000e-03 
-1.1354978e+00 -2.4248497e+00 3.0000000e-03 
-1.1411902e+00 -2.4649299e+00 3.0000000e-03 
-1.1469760e+00 -2.5050100e+00 3.0000000e-03 
-1.1528550e+00 -2.5450902e+00 3.0000000e-03 
-1.1588274e+00 -2.5851703e+00 3.0000000e-03 
-1.1648931e+00 -2.6252505e+00 3.0000000e-03 
-1.1710522e+00 -2.6653307e+00 3.0000000e-03 
-1.1773045e+00 -2.7054108e+00 3.0000000e-03 
-1.1836502e+00 -2.7454910e+00 3.0000000e-03 
-1.1900891e+00 -2.7855711e+00 3.0000000e-03 
-1.1966214e+00 -2.8256513e+00 3.0000000e-03 
-1.2032470e+00 -2.8657315e+00 3.0000000e-03 
-1.2099660e+00 -2.9058116e+00 3.0000000e-03 
-1.2167782e+00 -2.9458918e+00 3.0000000e-03 
-1.2236838e+00 -2.9859719e+00 3.0000000e-03 
-1.2306827e+00 -3.0260521e+00 3.0000000e-03 
